		0		0.5		1		2		3		5		7		24
14:0-14:0	12.39894	0.68989	8.20399	0.42164	5.62790	0.21034	1.84156	0.21266	1.05869	0.20757	0.70787	0.13605	0.53368	0.03984	0.30474	0.23229
14:0-16:1	5.40901	0.06292	4.88596	0.11242	4.57170	0.39967	4.29097	0.33538	3.92758	0.20662	3.51889	0.19434	2.95902	0.37818	0.19419	0.15819
14:0-18:1	32.77891	0.31225	33.62628	0.76038	35.20162	0.02693	37.10776	0.63560	34.89610	3.08027	31.56388	1.08749	29.01512	2.11841	16.10357	0.91449
14:0-18:2	6.23189	0.22897	5.94830	0.20223	6.65122	0.49401	5.99237	0.13363	5.97718	0.84309	4.73452	0.25236	4.88085	0.72544	2.06838	0.21372
16:0-18:1	2.01192	0.83798	2.82382	0.42366	2.56152	0.47358	3.15410	0.11561	3.33497	0.51453	4.01505	0.30690	4.04047	1.10871	7.21603	1.02606
16:1-18:1	2.85356	0.20622	3.18915	0.24148	4.03494	0.12046	4.54983	0.15267	5.50191	0.98363	6.31395	0.23851	6.77036	0.27141	11.00611	0.41325
16:1-18:2	4.36566	0.40396	5.80732	0.90259	4.06075	0.11412	4.27846	0.35697	3.99263	0.26565	3.62965	0.54724	3.35069	0.30864	1.58321	0.24401
14:0-20:4	13.44985	0.27127	13.61621	0.08857	13.44721	0.17758	12.09859	0.64947	10.29808	0.62394	10.03194	1.11211	8.39725	1.67923	3.33377	0.50319
18:0-18:1	1.06623	0.59294	2.01085	0.60849	1.77226	0.07232	2.26199	0.15699	2.63293	0.13934	3.14204	0.19340	3.11091	0.59186	6.21788	0.27892
18:1-18:1	6.49612	0.39631	7.81069	0.14585	8.98428	1.09870	11.95737	0.73043	15.34162	1.51715	18.94307	1.13170	24.65113	2.29104	41.63284	0.23535
18:1-18:2	0.70901	0.44174	1.17596	0.06840	1.87460	0.09988	1.92465	0.22577	3.16301	0.29896	3.13030	0.22674	3.60021	0.54068	3.62603	1.13735
14:0-22:6	10.47139	0.26280	9.30497	0.13163	8.45679	0.33317	7.76147	0.24560	5.85470	0.31220	4.77734	0.37019	3.78641	1.03267	0.00000	0.00000
18:1-20:4	1.75752	0.25186	1.59651	0.41549	2.75521	0.04681	2.78089	0.07719	4.02058	0.24332	5.49149	0.53823	4.90391	0.21050	6.71324	1.16280
